model;param;initial;lower_limit;upper_limit;provided_initial
tmdo;local beta_tt_bus_mrt = -0.1;-0.1;-15;0;-0.1
tmdo;local beta_tt_drive1 =  -8;-8;-15;0;-8
tmdo;local beta_tt_share2 = -10;-10;-15;0;-10
tmdo;local beta_tt_share3 = -11;-11;-15;0;-11
tmdo;local beta_tt_motor = -0.199;-0.199;-2.199;1.801;-0.199
tmdo;local beta_tt_walk = -4;-4;-5;0;-4
tmdo;local beta_log = 0.234;0.234;-1.766;2.234;0.234
tmdo;local beta_area = 0;0;-2;2;0
tmdo;local beta_population = -6.78;-6.78;-2;2;-6.78
tmdo;local beta_central_bus_mrt = 3;3;0;10;3
tmdo;local beta_central_drive1 = 0;0;-15;0;0
tmdo;local beta_central_share2 = -0.5;-0.5;-15;0;-0.5
tmdo;local beta_central_share3 = -0.8;-0.8;-15;0;-0.8
tmdo;local beta_central_motor = 0.273;0.273;-1.727;2.273;0.273
tmdo;local beta_central_walk = -0.5;-0.5;-10;10;-0.5
tmdo;local beta_distance_bus_mrt = 0;0;-15;2;0
tmdo;local beta_distance_drive1 = -3;-3;-15;0;-3
tmdo;local beta_distance_share2 = -3.5;-3.5;-15;0;-3.5
tmdo;local beta_distance_share3 = -3.5;-3.5;-15;0;-3.5
tmdo;local beta_distance_motor = 0.0521;0.0521;-1.9479;2.0521;0.0521
tmdo;local beta_distance_walk = -3;-3;-8;8;-3
tmdo;local beta_cons_bus = 10;10;-5;15;10
tmdo;local beta_cons_mrt = 4.8;4.8;2.8;6.8;4.8
tmdo;local beta_cons_drive1 = -3;-3;-5;-1;-3
tmdo;local beta_cons_share2 = -4;-4;-6;-2;-4
tmdo;local beta_cons_share3 = -2;-2;-4;0;-2
tmdo;local beta_cons_motor = 8.120;8.12;6.12;10.12;8.12
tmdo;local beta_cons_walk = -1;-1;-8;8;-1
tmdo;local beta_zero_bus = 0;0;-2;2;0
tmdo;local beta_oneplus_bus = -0.1;-0.1;-2.1;1.9;-0.1
tmdo;local beta_twoplus_bus = -0.2;-0.2;-2.2;1.8;-0.2
tmdo;local beta_threeplus_bus = 0;0;-2;2;0
tmdo;local beta_zero_mrt= 0;0;-2;2;0
tmdo;local beta_oneplus_mrt = -1.01;-1.01;-3.01;0.99;-1.01
tmdo;local beta_twoplus_mrt = -0.984;-0.984;-2.984;1.016;-0.984
tmdo;local beta_threeplus_mrt = 0;0;-2;2;0
tmdo;local beta_zero_drive1 = 0;0;-2;2;0
tmdo;local beta_oneplus_drive1 = 0;0;-2;2;0
tmdo;local beta_twoplus_drive1 = 0.590;0.59;-1.41;2.59;0.59
tmdo;local beta_threeplus_drive1 = 0;0;-2;2;0
tmdo;local beta_zero_share2 = 0;0;-2;2;0
tmdo;local beta_oneplus_share2 = 1.99;1.99;-0.01;3.99;1.99
tmdo;local beta_twoplus_share2 = 0;0;-2;2;0
tmdo;local beta_threeplus_share2 = 0;0;-2;2;0
tmdo;local beta_zero_share3 = 0;0;-2;2;0
tmdo;local beta_oneplus_share3 = 1.32;1.32;-0.68;3.32;1.32
tmdo;local beta_twoplus_share3 = -0.421;-0.421;-2.421;1.579;-0.421
tmdo;local beta_threeplus_share3 = 0;0;-2;2;0
tmdo;local beta_zero_car_motor = 0;0;-2;2;0
tmdo;local beta_oneplus_car_motor = -1.40;-1.4;-3.4;0.6;-1.4
tmdo;local beta_twoplus_car_motor = 0;0;-2;2;0
tmdo;local beta_threeplus_car_motor = 0;0;-2;2;0
tmdo;local beta_zero_walk = 0;0;-2;2;0
tmdo;local beta_oneplus_walk = 0;0;-2;2;0
tmdo;local beta_twoplus_walk = 0;0;-2;2;0
tmdo;local beta_threeplus_walk = 0;0;-2;2;0
tmdo;local beta_zero_motor = 0;0;-2;2;0
tmdo;local beta_oneplus_motor = 0;0;-2;2;0
tmdo;local beta_twoplus_motor = 2.88;2.88;0.88;4.88;2.88
tmdo;local beta_threeplus_motor = 0;0;-2;2;0
tmdo;local beta_female_bus = 0.919;0.919;-1.081;2.919;0.919
tmdo;local beta_female_mrt = 0.996;0.996;-1.004;2.996;0.996
tmdo;local beta_female_drive1 = 0;0;-2;2;0
tmdo;local beta_female_share2 = 0.536;0.536;-1.464;2.536;0.536
tmdo;local beta_female_share3 = 0.870;0.87;-1.13;2.87;0.87
tmdo;local beta_female_motor = 0;0;-2;2;0
tmdo;local beta_female_walk = 2.29;2.29;0.29;4.29;2.29
tmds;local beta_cost_drive1_1 = -3;-3;-15;0;-3
tmds;local beta_cost_share2_1= -3;-3;-15;0;-3
tmds;local beta_cost_share3_1= -3;-3;-15;0;-3
tmds;local beta_cost_motor_1 = 0;0;-2;2;0
tmds;local beta_cost_drive1_2 = -3;-3;-15;0;-3
tmds;local beta_cost_share2_2 = -4;-4;-15;0;-4
tmds;local beta_cost_share3_2 = -4;-4;-15;0;-4
tmds;local beta_cost_motor_2 = -0.150;-0.15;-2.15;1.85;-0.15
tmds;local beta_tt_bus_mrt = -0.1;-0.1;-15;0;-0.1
tmds;local beta_tt_drive1 = -7;-7;-15;0;-7
tmds;local beta_tt_share2 = -9;-9;-15;0;-9
tmds;local beta_tt_share3= -9;-9;-15;0;-9
tmds;local beta_tt_motor = 0;0;-2;2;0
tmds;local beta_tt_walk = -7;-7;-3;3;-7
tmds;local beta_log = 1.14;1.14;-0.86;3.14;1.14
tmds;local beta_area = 3.41;3.41;1.41;5.41;3.41
tmds;local beta_population = -7.24;-7.24;-9.24;-5.24;-7.24
tmds;local beta_central_bus_mrt = 1;1;-1;3;1
tmds;local beta_central_drive1 = -0.178;-0.178;-10;0;-0.178
tmds;local beta_central_share2 = -0.478;-0.478;-10;0;-0.478
tmds;local beta_central_share3 = -0.478;-0.478;-10;0;-0.478
tmds;local beta_central_motor = 0.0738;0.0738;-1.9262;2.0738;0.0738
tmds;local beta_central_walk = -0.5;-0.5;-10;10;-0.5
tmds;local beta_distance_bus_mrt = 0.5;0.5;-15;2;0.5
tmds;local beta_distance_drive1 = -2;-2;-15;2;-2
tmds;local beta_distance_share2 = -2;-2;-15;2;-2
tmds;local beta_distance_share3 = -2;-2;-15;2;-2
tmds;local beta_distance_motor = -0.0635;-0.0635;-2.0635;1.9365;-0.0635
tmds;local beta_distance_walk = -2;-2;-8;8;-2
tmds;local beta_cons_bus = -0.1;-0.1;-8;8;-0.1
tmds;local beta_cons_mrt = -3;-3;-5;-1;-3
tmds;local beta_cons_drive1 = -3;-3;-5;-1;-3
tmds;local beta_cons_share2 = -6.193;-6.193;-8.193;-4.193;-6.193
tmds;local beta_cons_share3 = -6.578;-6.578;-8.578;-4.578;-6.578
tmds;local beta_cons_motor = 1.240;1.24;-0.76;3.24;1.24
tmds;local beta_cons_walk = -6;-6;-8;8;-6
tmds;local beta_zero_bus = 0;0;-2;2;0
tmds;local beta_oneplus_bus = 0;0;-2;2;0
tmds;local beta_twoplus_bus = -0.2;-0.2;-2.2;1.8;-0.2
tmds;local beta_threeplus_bus = 0;0;-2;2;0
tmds;local beta_zero_mrt= 0;0;-2;2;0
tmds;local beta_oneplus_mrt = 0.648;0.648;-1.352;2.648;0.648
tmds;local beta_twoplus_mrt = -2.55;-2.55;-4.55;-0.55;-2.55
tmds;local beta_threeplus_mrt = 0;0;-2;2;0
tmds;local beta_zero_drive1 = 0;0;-2;2;0
tmds;local beta_oneplus_drive1 = 0;0;-2;2;0
tmds;local beta_twoplus_drive1 = 0.476;0.476;-1.524;2.476;0.476
tmds;local beta_threeplus_drive1 = 0;0;-2;2;0
tmds;local beta_zero_share2 = 0;0;-2;2;0
tmds;local beta_oneplus_share2 = 3.65;3.65;1.65;5.65;3.65
tmds;local beta_twoplus_share2 = 0;0;-2;2;0
tmds;local beta_threeplus_share2 = 0;0;-2;2;0
tmds;local beta_zero_share3 = 0;0;-2;2;0
tmds;local beta_oneplus_share3 = 2.82;2.82;0.82;4.82;2.82
tmds;local beta_twoplus_share3 = -0.735;-0.735;-2.735;1.265;-0.735
tmds;local beta_threeplus_share3 = 0;0;-2;2;0
tmds;local beta_zero_car_motor = 0;0;-2;2;0
tmds;local beta_oneplus_car_motor = 0;0;-2;2;0
tmds;local beta_twoplus_car_motor = 0;0;-2;2;0
tmds;local beta_threeplus_car_motor = 0;0;-2;2;0
tmds;local beta_zero_walk = 0;0;-2;2;0
tmds;local beta_oneplus_walk = 0;0;-2;2;0
tmds;local beta_twoplus_walk = 0;0;-2;2;0
tmds;local beta_threeplus_walk = 0;0;-2;2;0
tmds;local beta_zero_motor = 0;0;-2;2;0
tmds;local beta_oneplus_motor = 0;0;-2;2;0
tmds;local beta_twoplus_motor= 4.89;4.89;2.89;6.89;4.89
tmds;local beta_threeplus_motor= 0 ;0;-2;2;0
tmds;local beta_female_bus = 0.0894;0.0894;-1.9106;2.0894;0.0894
tmds;local beta_female_mrt = 0;0;-2;2;0
tmds;local beta_female_drive1 = 0;0;-2;2;0
tmds;local beta_female_share2 = -0.669;-0.669;-2.669;1.331;-0.669
tmds;local beta_female_share3 = -0.690;-0.69;-2.69;1.31;-0.69
tmds;local beta_female_motor = -2.60;-2.6;-4.6;-0.6;-2.6
tmds;local beta_female_walk = 1.83;1.83;-0.17;3.83;1.83
tme;local beta_cons_bus = -2;-2;-5;15;-2
tme;local beta_cons_mrt = - 8;-8;-10;-6;-8
tme;local beta_cons_drive1= -4;-4;-15;0;-4
tme;local beta_cons_share2= -15;-15;-17;-13;-15
tme;local beta_cons_share3= -13.5;-13.5;-15.5;-11.5;-13.5
