model,param,module,include,initial,lower_limit,upper_limit,provided_initial
dps,local beta_income_others = 0.104,preday,TRUE,1.780522519,-0.219477481,3.780522519,0.104
dps,local beta_missingincome_work = 0,preday,TRUE,-0.641218323,-5,5,0
dps,local beta_missingincome_edu = 0,preday,TRUE,-3.856200439,-5.856200439,-1.856200439,0
dps,local beta_missingincome_shop = 0.459,preday,TRUE,5.414175698,3.414175698,7.414175698,0.459
dps,local beta_missingincome_others = 0.544,preday,TRUE,-5.869211751,-7.869211751,-3.869211751,0.544
dps,local beta_workathome_work = 0,preday,TRUE,0,0,0,0
dps,local beta_workathome_edu = 0,preday,TRUE,0,0,0,0
dps,local beta_workathome_shop = 0,preday,TRUE,0,0,0,0
dps,local beta_workathome_others = 0,preday,TRUE,0,0,0,0
dps,local beta_zero_car_work = 0,preday,TRUE,4.144961957,2.144961957,6.144961957,0
dps,local beta_zero_car_edu = 0,preday,TRUE,0,0,0,0
dps,local beta_zero_car_shop = 0,preday,TRUE,0,0,0,0
dps,local beta_zero_car_others = 0,preday,TRUE,-2.317477824,-4.317477824,-0.317477824,0
dps,local beta_one_car_work = -1.49,preday,TRUE,0.914451333,-5,5,-1.49
dps,local beta_one_car_edu = 0,preday,TRUE,-1.656247828,-3.656247828,0.343752172,0
dps,local beta_one_car_shop = 0.429,preday,TRUE,9.7288217,7.7288217,11.7288217,0.429
dps,local beta_one_car_others = 1.49,preday,TRUE,2.771633095,0.771633095,4.771633095,1.49
dps,local beta_twoplus_car_work = 1.48,preday,TRUE,-2.173443568,-5,5,1.48
dps,local beta_twoplus_car_edu = 0,preday,TRUE,-4.381607642,-6.381607642,-2.381607642,0
dps,local beta_twoplus_car_shop = 0.262,preday,TRUE,0.262,0.262,0.262,0.262
dps,local beta_twoplus_car_others = 1.48,preday,TRUE,1.48,1.48,1.48,1.48
dps,local beta_motoravail_work = -0.485,preday,TRUE,-0.159615684,-2.159615684,1.840384316,-0.485
dps,local beta_motoravail_edu = 0,preday,TRUE,-3.947422128,-5.947422128,-1.947422128,0
dps,local beta_motoravail_shop = -0.0377,preday,TRUE,-0.0377,-0.0377,-0.0377,-0.0377
dps,local beta_motoravail_others = -0.0091,preday,TRUE,-2.919018783,-4.919018783,-0.919018783,-0.0091
dps,local beta_onestop = 0,preday,TRUE,-3.675494971,-5.675494971,-1.675494971,0
dps,local beta_twostop = 0,preday,TRUE,0,0,0,0
dps,local beta_work_logsum = 0.2,preday,TRUE,0.269638897,-1.730361103,2.269638897,0.2
dps,local beta_edu_logsum = 0,preday,TRUE,0.90297138,-1.09702862,2.90297138,0
dps,local beta_shopping_logsum = 0,preday,TRUE,-3.238291243,-5.238291243,-1.238291243,0
dps,local beta_other_logsum = 0,preday,TRUE,-3.831970171,-5.831970171,-1.831970171,0
dps,local beta_workedu_ss = 0,preday,TRUE,1.771427577,-0.228572423,3.771427577,0
dps,local beta_workshop_ss = 0,preday,TRUE,3.255003364,1.255003364,5.255003364,0
dps,local beta_workothers_ss = 4.08,preday,TRUE,3.689235153,1.689235153,5.689235153,4.08
dps,local beta_edushop_ss = 0,preday,TRUE,-3.743315047,-5.743315047,-1.743315047,0
dps,local beta_eduothers_ss = 0.986,preday,TRUE,2.504308766,0.504308766,4.504308766,0.986
dps,local beta_shopothers_ss = 0,preday,TRUE,0,0,0,0
dpt,local beta_tour_work = 12.375,preday,TRUE,-2.806280861,-10,10,12.375
dpt,local beta_tour_edu = 12.375,preday,TRUE,12.375,12.375,12.375,12.375
dpt,local beta_tour_shop = -2,preday,TRUE,-8.477897093,-10.47789709,-6.477897093,-2
dpt,local beta_tour_others = -2.7,preday,TRUE,-4.827579711,-6.827579711,-2.827579711,-2.7
dpt,local beta_workshop_tt = 2.52,preday,TRUE,1.53310971,-5,5,2.52
dpt,local beta_workothers_tt = 2.99,preday,TRUE,0.870994132,-5,5,2.99
dpt,local beta_edushop_tt = 0,preday,TRUE,0,0,0,0
dpt,local beta_eduothers_tt = -0.375,preday,TRUE,2.510617443,0.510617443,4.510617443,-0.375
dpt,local beta_shopothers_tt = 0.355,preday,TRUE,0.149535073,-1.850464927,2.149535073,0.355
dpt,local beta_workedu_tt = -3.82,preday,TRUE,-5.502586833,-7.502586833,-3.502586833,-3.82
